region,estado,comuna_nome,comuna,superficie,poblacion,densidad,,
14,Guadalajara ,Concepción de Buenos Aires,26,265,6088,22.94,,FALSE
14,Guadalajara ,Cuautitlán de García Barragán,27,1394,18138,13.01,,FALSE
14,Guadalajara ,Cuautla,28,417,2120,5.08,,FALSE
14,Guadalajara ,Cuquío,29,643,17980,27.98,,FALSE
14,Guadalajara ,Degollado,30,425,21479,50.54,,FALSE
14,Guadalajara ,Ejutla,31,297,1862,6.26,,FALSE
14,Guadalajara ,El Arenal,32,104,19900,191.36,,FALSE
14,Guadalajara ,El Grullo,33,117,24312,207.44,,FALSE
14,Guadalajara ,El Limón,34,114,5379,47.06,,FALSE
14,Guadalajara ,El Salto,35,88,183437,2087.83,,FALSE
14,Guadalajara ,Encarnación de Díaz,36,1253,53555,42.73,,FALSE
14,Guadalajara ,Etzatlán,37,338,19847,58.72,,FALSE
14,Guadalajara ,Gómez Farías,38,354,14278,40.37,,FALSE
14,Guadalajara ,Guachinango,39,839,4184,4.99,,FALSE
14,Guadalajara ,Guadalajara,40,151,1460148,9643.03,,FALSE
14,Guadalajara ,Hostotipaquillo,41,756,9761,12.91,,FALSE
14,Guadalajara ,Huejúcar,42,309,5633,18.24,,FALSE
14,Guadalajara ,Huejuquilla el Alto,43,770,8787,11.41,,FALSE
14,Guadalajara ,Ixtlahuacán de los Membrillos,44,202,53045,262.09,,FALSE
14,Guadalajara ,Ixtlahuacán del Río,45,831,19070,22.94,,FALSE
14,Guadalajara ,Jalostotitlán,46,520,33777,64.96,,FALSE
14,Guadalajara ,Jamay,47,163,24753,152.06,,FALSE
14,Guadalajara ,Jesús María,48,665,19469,29.27,,FALSE
14,Guadalajara ,Jilotlán de los Dolores,49,1475,9917,6.72,,FALSE
14,Guadalajara ,Jocotepec,50,334,46521,139.11,,FALSE
14,Guadalajara ,Juanacatlán,51,138,17955,129.82,,FALSE
14,Guadalajara ,Juchitlán,52,246,5638,22.88,,FALSE
14,Guadalajara ,La Barca,53,418,65055,155.56,,FALSE
14,Guadalajara ,La Huerta,54,2014,24563,12.2,,FALSE
14,Guadalajara ,La Manzanilla de la Paz,55,135,3688,27.38,,FALSE
14,Guadalajara ,Lagos de Moreno,56,2516,164981,65.58,,FALSE
14,Guadalajara ,Magdalena,57,293,22643,77.22,,FALSE
14,Guadalajara ,Mascota,58,1844,14477,7.85,,FALSE
14,Guadalajara ,Mazamitla,59,289,13799,47.77,,FALSE
